Product Name,Category,MRP,Discounted Price,Discount
Mr.Noodles 4pcs masala 140gm,Noodles,50,45,10.00%
Mr.Noodles 4pcs masala 248gm,Noodles,85,75,11.76%
Mr.Noodles 4pcs chicken 248gm,Noodles,85,75,11.76%
Mr.Noodles 8pcs masala 496gm,Noodles,160,135,15.63%
Mr.Noodles 8pcs Shahi 496gm,Noodles,160,140,12.50%
Mr.Noodles 8pcs masala 400gm ,Noodles,145,120,17.24%
Mr.Noodles 12pcs masala 744gm,Noodles,245,210,14.29%
Mr.Noodles 16pcs masala 992 gm,Noodles,310,265,14.52%
Mr. Noodles Stick 150 gm,Noodles,25,22,12.00%
Mr.Noodles single pack 30 gm ,Noodles,10,9,10.00%
Mr.Noodles Single pack 40 gm,Noodles,15,13,13.33%
Mr. Noodles Chow Mein 300gm,Noodles,65,57,12.31%
Mr.Noodles Stick 75gm ,Noodles,15,13,13.33%
Mr.Noodles 16pcs Box,Noodles,280,260,7.14%
Mr.Noodles 14pcs Box ,Noodles,295,270,8.47%
Mr.noodles 28pcs Container,Noodles,480,450,6.25%
Fresh Noodles Single pack 37 gm,Noodles,10,9,10.00%
Fresh Noodles 4pcs masala 248gm,Noodles,85,77,9.41%
Fresh Noodles 8pcs masala 496 gm,Noodles,160,130,18.75%
Fresh Noodles 12pcs masala 744gm,Noodles,240,190,20.83%
Fresh Noodles 16pcs masala 992gm,Noodles,310,270,12.90%
Mr.Noodles 28pcs Container ,Noodles,400,360,10.00%
Mr.Noodles 8pcs masala 400 gm,Noodles,140,115,17.86%
Fresh Butter cookies 800 gm Jar,Biscuit,200,160,20.00%
Fresh Butter cookies 650 gm Jar,Biscuit,150,130,13.33%
Fresh Coconut cookies 240gm,Biscuit,60,55,8.33%
Fresh Coconut Cookies 80 gm,Biscuit,20,18,10.00%
Fresh Delicious Cookies 240 gm,Biscuit,60,55,8.33%
Fresh Delicious Cookies 80 gm ,Biscuit,20,18,10.00%
Fresh Fantasy 175 gm,Biscuit,150,110,26.67%
Fresh Fantasy 75 gm,Biscuit,60,55,8.33%
Teer soyabean oil 1 ltr.(poly),Groceries,160,152,5.00%
Teer soyabean oil 1/2 ltr.,Groceries,87,85,2.30%
Teer soyabean oil 1 ltr,Groceries,167,164,1.80%
Teer soyabean  oil 2 ltr ,Groceries,334,326,2.40%
Teer soyabean oil 3 ltr,Groceries,500,490,2.00%
Teer soyabean oil 5 ltr,Groceries,818,800,2.20%
Teer soyabean oil 8 ltr,Groceries,1320,1280,3.03%
Teer atta 1kg,Groceries,60,50,16.67%
Teer atta 2 kg,Groceries,130,100,23.08%
Teer atta 5 kg,Groceries,290,235,18.97%
Teer Moida 1 kg,Groceries,75,69,8.00%
Teer suji 250gm,Groceries,25,22,12.00%
Teer suji 500 gm,Groceries,48,44,8.33%
Teer chinigura rice 1 kg,Groceries,170,145,14.71%
Teer suger 1 kg,Groceries,135,133,1.48%
Teer mustard oil 100 ml,Groceries,40,34,15.00%
Teer mustard oil 250 ml,Groceries,95,77,18.95%
Teer mustard oil 500 ml,Groceries,180,150,16.67%
Teer mustard oil 1 ltr.,Groceries,340,280,17.65%
Teer mustard oil 5 ltr.,Groceries,1400,1150,17.86%
Teer salt  500 gm,Groceries,22,20,9.09%
Teer salt 1 kg,Groceries,42,40,4.76%
Teer miniket rice 5 kg,Groceries,440,405,7.95%
Teer katarivog rice 5 kg,Groceries,460,430,6.52%
Teer nazirshah rice 5 kg,Groceries,460,430,6.52%
Harpic 1ltr,Cleaners and Toiletries,0,0,